,구분,왕란,왕란,특란,특란,대란,대란,중란,중란,소란,소란
0,구분,30개,10개,30개,10개,30개,10개,30개,10개,30개,10개
1,2023-06-26,"5,236
						                    		
					                    	
42","1,745
						                    		
						                    	
14","4,948
						                    		
					                    	
16","1,649
						                    		
					                    	
5","4,684
						                    		
					                    	
8","1,561
						                    		
					                    	
3","4,423
						                    		
					                    	
63","1,474
						                    		
					                    	
21",,
2,2023-06-23,"5,194
						                    		
					                    	
3","1,731
						                    		
						                    	
1","4,932
						                    		
					                    	
47","1,644
						                    		
					                    	
16","4,692
						                    		
					                    	
81","1,564
						                    		
					                    	
27","4,486
						                    		
					                    	
36","1,495
						                    		
					                    	
12",,
3,2023-06-22,"5,191
						                    		
					                    	
4","1,730
						                    		
						                    	
1","4,885
						                    		
					                    	
60","1,628
						                    		
					                    	
20","4,611
						                    		
					                    	
46","1,537
						                    		
					                    	
15","4,522
						                    		
					                    	
42","1,507
						                    		
					                    	
14",,
4,2023-06-21,"5,187
						                    		
					                    	
15","1,729
						                    		
						                    	
5","4,945
						                    		
					                    	
10","1,648
						                    		
					                    	
3","4,657
						                    		
					                    	
14","1,552
						                    		
					                    	
5","4,480
						                    		
					                    	
6","1,493
						                    		
					                    	
2",,
5,2023-06-20,"5,202
						                    		
					                    	
49","1,734
						                    		
						                    	
16","4,935
						                    		
					                    	
51","1,645
						                    		
					                    	
17","4,671
						                    		
					                    	
62","1,557
						                    		
					                    	
21","4,486
						                    		
					                    	
20","1,495
						                    		
					                    	
7",,
6,2023-06-19,"5,251
						                    		
					                    	
36","1,750
						                    		
						                    	
12","4,986
						                    		
					                    	
24","1,662
						                    		
					                    	
8","4,733
						                    		
					                    	
48","1,578
						                    		
					                    	
16","4,506
						                    		
					                    	
57","1,502
						                    		
					                    	
19",,
7,2023-06-16,"5,215
						                    		
					                    	
11","1,738
						                    		
						                    	
4","4,962
						                    		
					                    	
12","1,654
						                    		
					                    	
4","4,685
						                    		
					                    	
17","1,562
						                    		
					                    	
6","4,563
						                    		
					                    	
71","1,521
						                    		
					                    	
24",,
8,2023-06-15,"5,204
						                    		
					                    	
2","1,735
						                    		
						                    	
1","4,950
						                    		
					                    	
46","1,650
						                    		
					                    	
15","4,702
						                    		
					                    	
41","1,567
						                    		
					                    	
14","4,634
						                    		
					                    	
64","1,545
						                    		
					                    	
21",,
9,2023-06-14,"5,206
						                    		
					                    	
54","1,735
						                    		
						                    	
18","4,996
						                    		
					                    	
30","1,665
						                    		
					                    	
10","4,743
						                    		
					                    	
33","1,581
						                    		
					                    	
11","4,698
						                    		
					                    	
19","1,566
						                    		
					                    	
6","4,244","1,415"
10,2023-06-13,"5,260
						                    		
					                    	
35","1,753
						                    		
						                    	
12","5,026
						                    		
					                    	
40","1,675
						                    		
					                    	
13","4,776
						                    		
					                    	
55","1,592
						                    		
					                    	
18","4,679
						                    		
					                    	
22","1,560
						                    		
					                    	
7",,
11,2023-06-12,"5,295
						                    		
					                    	
28","1,765
						                    		
						                    	
9","5,066
						                    		
					                    	
41","1,689
						                    		
					                    	
14","4,831
						                    		
					                    	
33","1,610
						                    		
					                    	
11","4,701
						                    		
					                    	
18","1,567
						                    		
					                    	
6",,
12,2023-06-09,"5,323
						                    		
					                    	
7","1,774
						                    		
						                    	
2","5,107
						                    		
					                    	
8","1,702
						                    		
					                    	
3","4,864
						                    		
					                    	
10","1,621
						                    		
					                    	
3","4,683
						                    		
					                    	
58","1,561
						                    		
					                    	
19",,
13,2023-06-08,"5,316
						                    		
					                    	
24","1,772
						                    		
						                    	
8","5,099
						                    		
					                    	
24","1,700
						                    		
					                    	
8","4,854
						                    		
					                    	
2","1,618
						                    		
					                    	
1","4,741
						                    		
					                    	
9","1,580
						                    		
					                    	
3",,
14,2023-06-07,"5,340
						                    		
					                    	
52","1,780
						                    		
						                    	
17","5,075
						                    		
					                    	
18","1,692
						                    		
					                    	
6","4,852
						                    		
					                    	
4","1,617
						                    		
					                    	
1","4,732
						                    		
					                    	
24","1,577
						                    		
					                    	
8",,
15,2023-06-05,"5,392
						                    		
					                    	
48","1,797
						                    		
						                    	
16","5,093
						                    		
					                    	
8","1,698
						                    		
					                    	
3","4,856
						                    		
					                    	
19","1,619
						                    		
					                    	
6","4,708
						                    		
					                    	
82","1,569
						                    		
					                    	
27",,
16,2023-06-02,"5,344
						                    		
					                    	
12","1,781
						                    		
						                    	
4","5,101
						                    		
					                    	
20","1,700
						                    		
					                    	
7","4,837
						                    		
					                    	
34","1,612
						                    		
					                    	
11","4,626
						                    		
					                    	
7","1,542
						                    		
					                    	
2",,
17,2023-06-01,"5,332
						                    		
					                    	
17","1,777
						                    		
						                    	
6","5,081
						                    		
					                    	
11","1,694
						                    		
					                    	
4","4,803
						                    		
					                    	
34","1,601
						                    		
					                    	
11","4,633
						                    		
					                    	
19","1,544
						                    		
					                    	
6",,
18,2023-05-31,"5,315
						                    		
					                    	
57","1,772
						                    		
						                    	
19","5,092
						                    		
					                    	
14","1,697
						                    		
					                    	
5","4,837
						                    		
					                    	
3","1,612
						                    		
					                    	
1","4,652
						                    		
					                    	
101","1,551
						                    		
					                    	
34",,
19,2023-05-30,"5,372","1,791","5,078","1,693","4,840","1,613","4,753","1,584",,
